"Title","Authors","Publish Date (Year)"
"iWant: My Journey from Addiction and Overconsumption to a Simpler, Honest Life","By Velez-Mitchell, Jane","2009"
"Best New American Voices 2010 (The Best American Series ®)","By Kulka, John (EDT), Danford, Natalie (EDT), and Shapiro, Dani (EDT)","2009"
"Blue Moon","By Rice, Luanne","1994"
"The Tale of Peter Rabbit","By Potter, Beatrix","1974"
"The Galley K.I.S.S. Cookbook","By Kanter, Corinne C.","1995"
"Loving Evangeline (American Hero / Silhouette Intimate Moments, No. 607)","By Howard, Linda","1994"
"Moon Shadows (Jove Romance)","By Langan, Ruth Ryan, Roberts, Nora (EDT), Gregory, Jill, and Willman, Marianne","2004"
"Gabriel's Horses (Racing to Freedom)","By Hart, Alison","2010"
"Eyes Of Fire","By Pozzessere, Heather Graham","1995"
"The Best American Short Stories 2009","By Pitlor, Heidi (EDT) and Sebold, Alice (EDT)","2009"
"Hodges' Harbrace Handbook","By Hodges, John C., Miller, Robert Keith, Hodges, John C. (EDT), Webb, Suzanne Strobeck, and Horner, Winifred Bryan","2000"
"Day by Day: The Notre Dame Prayerbook for Students","By McNally, Thomas (EDT)","1975"
"Backblast","By McKeone, Lee","1989"
"The Best American Nonrequired Reading 2009 (The Best American Series ®)","By Eggers, Dave (EDT), Satrapi, Marjane (INT), and Nathan, Jesse (CON)","2009"
"The Best American Science And Nature Writing 2009","By Folger, Tim (EDT) and Kolbert, Elizabeth (EDT)","2009"
"The Best American Travel Writing 2009","By Winchester, Simon (EDT)","2009"
"Little Blue Truck","By Schertle, Alice and McElmurry, Jill (ILT)","2009"
"The Hardest Questions Aren't on the Test: Lessons from an Innovative Urban School","By Nathan, Linda F.","2009"
"The Gold Coast","By DeMille, Nelson","1997"
"Winners Take All (Fred Bowen Sports Story Series)","By Bowen, Fred","2009"
"On the Line (Fred Bowen Sports Story Series)","By Bowen, Fred","2009"
"The Very Sleepy Pig","By Malam, John","2001"
"Bizarre Tales from World War II","By Breuer, William B.","2008"
"Absolute Beginner's Guide to VBA","By McFedries, Paul","2004"
"Burning Bright","By Scott, Melissa","1994"
"See Jane Score","By Gibson, Rachel","2003"
"Smoke Ring","By Niven, Larry","1988"
"The Silver Gryphon (Mage Wars)","By Lackey, Mercedes and Dixon, Larry","1997"
"Chelsey: My True Story of Murder, Loss, and Starting Over (Louder Than Words)","By Shannon, Chelsey and Reber, Deborah (EDT)","2009"
"Lieutenant Hornblower","By Forester, Cecil Scott","1974"
"Sunrise Song (Avon Camelot Books)","By Eagle, Kathleen","1996"
"The Return of the Prodigal (The Beckets of Romney Marsh, 7)","By Michaels, Kasey","2007"
"The Perfect Match","By Cates, Kimberly","2007"
"Daniel Martin","By Fowles, John","1978"
"The Battle at the Moons of Hell (Helfort's War: Book I)","By Paul, Graham Sharp","2007"
"Rich , Rugged...Ruthless (Montana Mavericks)","By Mikels, Jennifer","2001"
"Seduction by Design","By Brown, Sandra","2002"
"The Taker","By Steele, J. M.","2006"
"Lone Star Rancher (The Fortunes of Texas : Reunion)","By Paige, Laurie","2005"
"Fields of Fire","By Webb, James H.","1981"
"Fun Facts about the Bible","By Martins, Robyn","1996"
"Writing With a Purpose","By Trimmer, Joseph F","1997"
"Very Bad Deaths","By Robinson, Spider","2004"
"Slow Cooking: In Crockpot, Slow Cooker, Oven and Multi-Cooker (Nitty Gritty Cookbooks)","By White, Joanna","2000"
"Grumpy Bunny'S Field Trip","By Korman, Justine and McQueen, Lucinda (ILT)","1998"
"My Mom Is Excellent (My Relative Series)","By Butterworth, Nick","1994"
"Armadillo Rodeo","By Brett, Jan","1995"
"Peggony-po: A Whale Of A Tale","By Pinkney, J. Brian (ILT) and Pinkney, Andrea Davis","2006"
"Arthur's Underwear: An Arthur Adventure (Arthur Adventures)","By Brown, Marc Tolon","1999"
"Wow! I'm Reading!: Fun Activities to Make Reading Happen (Williamson Little Hands Series)","By Hauser, Jill Frankel and Jaskiel, Stan (ILT)","2000"
"Kangaroos Have Joeys","By Browne, Philippa-Alys","1996"
"Dinosaur vs. Bedtime (A Dinosaur vs. Book)","By Shea, Bob","2008"
"911 Beauty Secrets: An Emergency Guide to Looking Great at Every Age, Size and Budget","By Irons, Diane","1999"
"The Adventures of Tom Sawyer (The Great Classics For Children)","By Twain, Mark and Robinson, W. T. (adapter)","2004"
"Ask Suze About Insurance","By Suze Orman","2000"
"Cure for the Common Life: Living in Your Sweet Spot","By Lucado, Max","2005"
"The Light Touch Cookbook: All-Time Favorite Recipes Made Healthful & Delicious","By Simmons, Marie and Sandison, Teri (PHT)","1996"
"Sunset Favorite Recipes","By","1992"
"The Best of Gourmet 1995","By Yanes, Romulo A. (PHT) and Gourmet (EDT)","1995"
"Mastering MATLAB 6","By Hanselman, Duane and Littlefield, Bruce","2000"
"DK Biography: Joan of Arc","By Kudlinski, Kathleen V.","2008"
"Star Wars, Episode III - Revenge of the Sith Trivia Quest","By Harper, Benjamin","2005"
"Casseroles, Stews, Soups & More (Favorite All Time Recipes Series)","By Publications International Ltd","1993"
"Seashores: A Guide to Animals and Plants Along the Beaches","By Zim, Herbert Spencer, Ingle, Lester, Barlowe, Dorothea (ILT), and Barlowe, Sy (ILT)","2000"
"Watergate: The Full Inside Story","By Shawcross, William, Chester, Lewis, McCrystal, Cal, and Aris, Stephen","1973"
"Perfect plant, perfect garden: The 200 most rewarding plants for every garden","By Scott-James, Anne","1988"
"Goldilocks and the Three Bears","By Eisen, Armand and Ferris, Lynn Bywaters (ILT)","1987"
"Courier to Peking","By June goodfield","1974"
"Chicken Little: The Junior Novelization","By Trimble, Irene","2005"
"Junie B., First Grader: Boo...and I Mean It! (Junie B. Jones, No. 24)","By Brunkus, Denise (ILT) and Park, Barbara","2005"
"SpongeBob SquarePants: Hands Off!","By Lewman, David, Greenblatt, C. H. (ILT), and Reiss, William (ILT)","2003"
"White Tie and Dagger: Inside Embassy Row","By TULLY, Andrew","1968"
"Angelica, Island Princess","By Boutilier, Kate, Marantz, Larissa, Bergman, Shannon, Marantz, Larissa (ILT), and Bergman, Shannon (ILT)","2003"
"Grace Will Lead Me Home","By Givens, Robin","2007"
"America Behind The Color Line: Dialogues with African Americans","By Gates, Henry Louis","2004"
"A Mother for Choco (Picture Puffin Books)","By Kasza, Keiko and Kasza, Keiko (ILT)","1996"
"Garden Voices: Stories of Women & Their Gardens","By Rapp, Carolyn Freas","2005"
"Kinsman's Oath","By Krinard, Susan","2004"
"Downtown","By Mazer, Norma Fox","1991"
"Border Bride","By Lamb, Arnette","1993"
"Moms Say The Funniest Things","By Lansky, Bruce and Allen, Dave (ILT)","1992"
"Warleggan","By Graham, Winston","1977"
"Drummer Hoff","By EMERLEY","1968"
"Song from the Sea","By Kingsley, Katherine","2003"
"Poofin: The Cloud That Cried on Christmas","By Wainwright, Richard M and Crompton, Jack (ILT)","1989"
"Vulcan's Forge (Philip Mercer)","By Du Brul, Jack B.","1999"
"Baby Alicia Is Dying","By McDaniel, Lurlene","1993"
"If Cooks Could Kil (Angie Amalfi Mysteries)","By Pence, Joanne","2002"
"The Sword of Allah","By Elliott, Richard","1984"
"Two Cooks A-Killing: An Angie Amalfi Mystery","By Pence, Joanne","2003"
"Echoes of the Well of Souls (Watchers at the Well, Book 1)","By Chalker, Jack L.","1993"
"Unexpected Blessings (Harte Family Saga)","By Bradford, Barbara Taylor","2005"
"Wolfling","By Gordon R. Dickson","1980"
"Pursuit of the Screamer","By Dibell, Anson","1978"
"Sunstroke: A Thriller","By Kellerman, Jesse","2006"
"No Other Man","By Drake, Shannon","1995"
"Cooking in the Nude: Quickies","By Cornwell, Debbie and Cornwell, Stephen","1996"
"Behind the Shadows","By Potter, Patricia","2008"
"Issues and Answers in Jesus' Day","By No Author","1990"
"Blood of Paradise","By Goodwin, Stephen","1985"
"Making Connections: Teaching and the Human Brain","By Caine, Renate Nummela and Caine, Geoffrey","1994"
"Merchant of Venice","By Shakespeare, William","1983"
"Sundays at Tiffany's","By Patterson, James and Charbonnet, Gabrielle","2009"
"The Wedding Game (Matchmaker Duncan Sisters)","By Feather, Jane","2004"
"Entebbe rescue","By Ben Porat, Yesha-Yahu","1977"
"A Visit to Santa","By UNADA","1991"
"Mr. Hynde Is Out of His Mind! (My Weird School #6)","By Gutman, Dan and Paillot, Jim (ILT)","2005"
"Miss Lazar Is Bizarre! (My Weird School #9)","By Gutman, Dan and Paillot, Jim (ILT)","2005"
"The Penwyth Curse","By Coulter, Catherine","2003"
"Amazing book of questions & answers","By Guest, John","2002"
"Meet My Buddy (A First Little Golden Book)","By Ari Hill","1986"
"Macbeth (Wordsworth Classics)","By Shakespeare, William","1997"
"Othello (Shakespeare, Pelican)","By Shakespeare, William and Bentley, G. E. (EDT)","1958"
"THE GIRLS","By Lansens, Lori","2007"
"The Sailor's Handbook","By Herreshoff, Halsey C. (EDT)","1983"
"Me of Little Faith: More Me! Less Faith!","By Black, Lewis and Gallo, Hank (EDT)","2009"
"Illustrated Shakespeare: Hamlet","By Shakespeare, William and Simmonds, William G. (ILT)","1992"
"Conclave (Holy See Trilogy)","By Tobin, Greg","2002"
"Reed'S Music Shop (Allegra's Window)","By Worth, Bonnie, Frost, Wendy (ILT), Tanz, Freya (ILT), Connor, Noah (ILT), Concepcion, Dave (ILT), Kittredge, Sophie (ILT), and Royce, Jonathan (ILT)","1996"
"Lovebirds: Everything About Housing, Care, Nutrition, Breeding, and Diseases","By Vriends, Matthew M.","1986"
"Home Landscaping","By Harris, Ron (EDT), Sanders, Kay (EDT), and Schiltz, Mary Helen (EDT)","1996"
"His Wildest Fantasy (Lovegram historical romances)","By Holliday, Arlene","1994"
"Janet's Horses","By Denton, Kady MacDonald","1991"
"The Night Thoreau Spent in Jail: A Play","By Lawrence, Jerome and Lee, Robert E.","2001"
"Rekindling the Romance: Loving the Love of Your Life","By Rainey, Dennis","2006"
"Choosing Against War: A Christian View","By Roth, John D.","2002"
"Carousel of Dreams","By Harte, Amanda","2002"
"Wild Rain (A Leopard Novel)","By Feehan, Christine","2004"
"100 Great Appetizer and Snack Recipes","By McConnell, Shelli (EDT) and Prager, Carol","1995"
"The Presidency and Domestic Policy: Comparing Leadership Styles, FDR to Clinton","By Genovese, Michael A. and Lammers, William W.","2000"
"The Thousand Doors","By Rothberg, Abraham","1966"
"Dinner in Minutes: Memorable Meals for Busy Cooks","By Gassenheimer, Linda and Needham, Steven Mark (PHT)","1993"
"Framework for Marketing Management, A (2nd Edition)","By Kotler, Philip","2002"
"The Baby Farm (Mira)","By Harper, Karen","2004"
"Mother of Storms","By Barnes, John","1995"
"Writing to Learn","By Zinsser, William Knowlton","1988"
"A Book of Christmas: Readings for reflection during Advent and Christmas","By Upper Room","1988"
"Faded Coat of Blue (Abel Jones Mysteries)","By Parry, Owen","2000"
"The Avatar","By Anderson, Poul","1979"
"Demian (Dover Thrift Editions)","By Hesse, Hermann and Appelbaum, Stanley (TRN)","2000"
"Shame of Man (Geodyssey)","By Anthony, Piers","1995"
"The Novel","By Michener, James A.","1992"
"Fallout","By Anderson, Kevin J. and Beason, Doug","1997"
"The Caterpillar's Question","By Anthony, Piers and Farmer, Philip Jose","1995"
"Castles in the Sand (The Little Mermaid's Treasure Chest)","By Walt Disney Company","1992"
"The Quest for the Fallen Star","By Anthony, Piers, Richey, James, and Riggs, Alan","1999"
"Escape Routes: for People Who Feel Trapped in Life's Hells","By Arnold, Johann Christoph","2001"
"Triple Cross","By Frank Owen","1954"
"Eleanor Roosevelt: 1933-1938 (V.2) by Blanche Wiesen Cook (2001) Hardcover","By Blanche Wiesen Cook","2001"
"Bulimia: A Guide for Family and Friends","By Sherman, Roberta Trattner and Thompson, Ron A.","1996"
"Obamanomics: How Bottom-Up Economic Prosperity Will Replace Trickle-Down Economics","By Talbott, John R.","2008"
"Problem Solving and Structured Programming in Watfiv (Addison-Wesley series in computer science and information processing)","By Friedman, Frank L.","1982"
"Sparknotes the Odyssey","By Homer","2002"
"Pronouncing Bible Names","By Severance, W. Murray","1983"
"Copyediting: A Practical Guide","By Judd, Karen","1995"
"Language: An Introduction to the Study of Speech","By Edward Sapir","1949"
"Berlin","By Nick Carter","1976"
"Paintings","By Wachtmeister, Ulla","1994"
"92 Pacific Boulevard (A Cedar Cove Novel, 9)","By Macomber, Debbie","2009"
"The Price of Motherhood: Why the Most Important Job in the World is Still the Least Valued","By Crittenden, Ann","2002"
"Secrets, Lies & Alibis (McAllister Files, Book 1)","By Rushford, Patricia H. and James Harrison","2003"
"Alice Alone","By Naylor, Phyllis Reynolds","2002"
"Sunshine and Shadow (Benni Harper Mystery)","By Fowler, Earlene","2004"
"Shadow of the Lynx","By Holt, Victoria","1981"
"Mutiny's Curse","By Thrapp, Dan L.","2002"
"Frommer's England from $70 a Day (Frommer's $ A Day)","By Porter, Darwin and Prince, Danforth","2002"
"Henry Ford: Young Man With Ideas (Childhood of Famous Americans)","By Wood, Wallace (ILT), Aird, Hazel B., and Ruddiman, Catherine","1986"
"Blizzard of the Blue Moon","By Murdocca, Sal (ILT) and Osborne, Mary Pope","2007"
"Black Rubber Dress: A Sam Jones Novel","By Henderson, Lauren","1999"
"Carnival at Candlelight","By Murdocca, Sal (ILT) and Osborne, Mary Pope","2006"
"Natural Garden Book","By Madsen, Chris, Harper, Peter, and Light, Jeremy","1994"
"Hooray for Thomas!: And Other Thomas the Tank Engine Stories","By Awdry, W., Mitton, David (ILT), Palone, Terry (PHT), and Permane, Terry (ILT)","2005"
"Island Boy (Picture Puffins)","By Cooney, Barbara","1991"
"Dakota Home (Dakota Series #2)","By Macomber, Debbie","2007"
"The Case of the Crunchy Peanut Butter (Weekly Reader Children's Book Club)","By J. M. Goodspeed","1975"
"The Tin Man (Patrick McLanahan Series)","By Brown, Dale","1999"
"The Last Oracle (Sigma Force)","By Rollins, James","2009"
"The Red Wyvern (Dragon Mage, Book 1)","By Kerr, Katharine","1998"
"Extreme Measures: A Thriller (11) (A Mitch Rapp Novel)","By Flynn, Vince","2009"
"Have a Little Faith: A True Story","By Albom, Mitch","2009"
"Manhood for Amateurs: The Pleasures and Regrets of a Husband, Father, and Son (P.S.)","By Chabon, Michael","2010"
"The Conscious Cook: Delicious Meatless Recipes That Will Change the Way You Eat","By Ronnen, Tal, Claro, Danielle (EDT), and Long, Linda (PHT)","2009"
"A Fiery Peace in a Cold War: Bernard Schriever and the Ultimate Weapon","By Sheehan, Neil","2009"
"South of Broad","By Conroy, Pat","2009"
"The Lost Symbol","By Brown, Dan","2009"
"What to Expect When You're Expected: A Fetus's Guide to the First Three Trimesters","By Javerbaum, David and Loew, Mike (ILT)","2009"
"Home Safe: A Novel","By Berg, Elizabeth","2009"
"Fables of Aesop (Classics)","By Aesop","1964"
"The Good Thief: A Novel","By Tinti, Hannah","2009"
"In the President's Secret Service: Behind the Scenes with Agents in the Line of Fire and the Presidents They Protect","By Kessler, Ronald","2009"
"Sisters in War: A Story of Love, Family, and Survival in the New Iraq","By Asquith, Christina","2009"
"The Last Dickens: A Novel","By Pearl, Matthew","2009"
"The Pyramid (Kurt Wallander Series)","By Mankell, Henning, Segerberg, Ebba (TRN), and Thompson, Lauren (TRN)","2009"
"Hotel on the Corner of Bitter and Sweet","By Ford, Jamie","2009"
"Step-By-Step Garden Basics (Better Homes & Gardens Step-By-Step)","By Better Homes and Gardens Books (EDT) and Ball, Liz","2000"
"Do the Right Thing: Inside the Movement That's Bringing Common Sense Back to America","By Huckabee, Mike","2008"
"Eat and Heal","By Fc & a Medical Publishing (EDT)","2009"
"Codependency: Breaking Free from the Hurt and Manipulation of Dysfunctional Relationships","By Springle, Pat and Joiner, Susan (EDT)","1990"
"Clap Your Hands","By Cauley, Lorinda Bryan","1992"
"Rules of Thumb for Online Research","By Wienbroer, Diana Roberts","2000"
"Hip Tranquil Chick: A Guide to Life On and Off the Yoga Mat","By Wilson, Kimberly","2006"
"CliffsNotes Pride and Prejudice","By Fitzwater, E. (EDT)","1959"
"The Poisoners (Matt Helm, No. 13)","By Hamilton, Donald","1971"
"The Rug Merchant","By Mullins, Meg","2006"
"Calories and Carbohydrates: New Revised Edition","By Kraus, Barbara","1999"
"Ortho's All About Creating Natural Landscapes (Ortho's All About Gardening)","By Ortho","2003"
"Landscaping (Home repair and improvement)","By Time-Life Books","1983"
"Dried Flowers: How to Prepare Them","By Whitlock, Sarah and Rankin, Martha","1975"
"Totally Chile Pepper Cookbook (Totally Cookbooks) (Totally Cookbooks Series)","By Siegel, Helene and Gillingham, Karen","1994"
"Time Management","By Cook, Marshall J.","1997"
"Technical Communication","By Markel, Michael H.","2003"
"A Girl Like Moi: The Fashion-Forward Adventures of Imogene","By Barham, Lisa and Rim, Sujean (ILT)","2006"
"The Perfect Shot (Young Adult Fiction)","By Alphin, Elaine Marie","2005"
"Bombingham: A Novel","By Grooms, Anthony","2001"
"The New Truth About Vitamins & Minerals","By Sardi, Bill","2003"
"The Mouse Who Wanted To Marry","By Doris Orgel","1993"
"Rootabaga Stories, Part Two (Odyssey Classic)","By Sandburg, Carl, Petersham, Maud Fuller (ILT), and Petersham, Miska (ILT)","1990"
"The People's Almanac Presents the Book of Lists/the '90s Edition","By Wallechinsky, David and WALLACE, AMY","1993"
